onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
29-1229.01,70.67999999999999,14.28,174.0,253470.0,,315360.0,Allergists and Immunologists,5.0,0.20203735144312396,0.0005517503805175038,79934299200.0,16149714099.830223,63714.49915110357
29-1229.03,64.3,4.76,28.0,253470.0,,315360.0,Urologists,5.0,0.07402799377916018,8.878741755454085e-05,79934299200.0,5917375803.919128,23345.468118195953
29-1241.00,79.3,4.6,15.0,301500.0,,12110.0,"Ophthalmologists, Except Pediatric",5.0,0.058007566204287514,0.0012386457473162675,3651165000.0,211795195.4602774,702.4716267339218
29-1292.00,68.6,4.66,114.0,93890.0,94260.0,219070.0,Dental Hygienists,3.0,0.06793002915451896,0.0005203816131830009,20568482300.0,1397217602.3032072,14881.431486880469
29-1299.01,83.36,18.48,98.0,128680.0,113730.0,30870.0,Naturopathic Physicians,5.0,0.2216890595009597,0.0031746031746031746,3972351600.0,880626890.2111325,6843.541266794627
29-1299.02,68.46,9.0,48.0,128680.0,113730.0,30870.0,Orthoptists,5.0,0.13146362839614376,0.001554907677356657,3972351600.0,522219754.6012271,4058.282208588958
29-2031.00,94.45,4.62,92.0,72890.0,67260.0,61180.0,Cardiovascular Technologists and Technicians,3.0,0.04891476971942827,0.0015037593984962407,4459410200.0,218131023.01746956,2992.6056114346216
29-2032.00,88.66,4.82,20.0,92550.0,89340.0,86460.0,Diagnostic Medical Sonographers,3.0,0.054364989848860824,0.0002313208420078649,8001873000.0,435021744.4168735,4700.397022332507
29-2033.00,77.42,9.52,559.0,99690.0,97020.0,16960.0,Nuclear Medicine Technologists,3.0,0.12296564195298372,0.03295990566037736,1690742400.0,207903224.59312838,2085.497287522604
29-2034.00,123.32,8.82,68.0,79760.0,77660.0,223460.0,Radiologic Technologists and Technicians,3.0,0.07152124554005838,0.00030430502103284706,17823169600.0,1274735289.263704,15982.137528381447
29-2035.00,106.62,4.41,33.0,91020.0,88180.0,41530.0,Magnetic Resonance Imaging Technologists,3.0,0.0413618458075408,0.0007946063086925114,3780060600.0,156350283.68036017,1717.7574563871694
29-2051.00,54.980000000000004,16.57,180.0,39560.0,37040.0,29950.0,Dietetic Technicians,3.0,0.30138232084394323,0.006010016694490818,1184822000.0,357084404.1469625,9026.4005092761
29-2052.00,93.38,13.58,166.0,44800.0,43460.0,487920.0,Pharmacy Technicians,3.0,0.1454272863568216,0.0003402197081488769,21858816000.0,3178868293.8530736,70956.88155922039
29-2061.00,92.07,12.82,69.0,64150.0,62340.0,632430.0,Licensed Practical and Licensed Vocational Nurses,3.0,0.13924188117736505,0.00010910298372942461,40570384500.0,5649096657.869013,88060.74291300098
29-2099.01,74.28,3.71,17.0,56370.0,48790.0,174060.0,Neurodiagnostic Technologists,3.0,0.04994614970382337,9.766747098701597e-05,9811762200.0,490059743.69951534,8693.626817447495
29-2099.08,50.15,28.58,341.0,56370.0,48790.0,174060.0,Patient Representatives,3.0,0.5698903290129611,0.001959094565092497,9811762200.0,5591628388.354935,99195.110667996
29-9091.00,88.93,11.16,97.0,63960.0,60250.0,28950.0,Athletic Trainers,5.0,0.12549195996851456,0.0033506044905008635,1851642000.0,232366183.74002025,3632.9922410884965
29-9092.00,79.6,15.78,89.0,102890.0,98910.0,3510.0,Genetic Counselors,5.0,0.19824120603015075,0.025356125356125355,361143900.0,71593602.28643216,695.8266331658291
29-9099.01,151.43,20.24,133.0,73200.0,64030.0,36970.0,Midwives,5.0,0.13365911642342995,0.0035975114958074115,2706204000.0,361708835.5015518,4941.377534174206
31-1131.00,140.8,3.39,52.0,41270.0,39530.0,1388430.0,Nursing Assistants,3.0,0.024076704545454543,3.745237426445698e-05,57300506100.0,1379607355.6747158,33428.81889204545
31-1133.00,71.54,4.57,28.0,43610.0,41590.0,34900.0,Psychiatric Aides,2.0,0.06388034665921163,0.0008022922636103152,1521989000.0,97225184.93150686,2229.424098406486
31-2011.00,98.17999999999999,4.19,111.0,68540.0,68340.0,47910.0,Occupational Therapy Assistants,3.0,0.04267671623548585,0.002316844082654978,3283751400.0,140139726.68567938,2044.641474842127
31-2012.00,60.05,4.34,17.0,41850.0,37370.0,5000.0,Occupational Therapy Aides,3.0,0.07227310574521233,0.0034,209250000.0,15123147.37718568,361.36552872606165
31-9011.00,55.51,4.81,26.0,63430.0,57950.0,96040.0,Massage Therapists,3.0,0.08665105386416862,0.0002707205331112037,6091817200.0,527862380.3278688,8321.967213114754
31-9091.00,68.9,4.18,21.0,48860.0,47300.0,375430.0,Dental Assistants,3.0,0.060667634252539904,5.5935860213621714e-05,18343509800.0,1112857343.4542813,22776.449927431055
31-9092.00,88.16,21.96,383.0,44720.0,44200.0,793460.0,Medical Assistants,3.0,0.24909255898366608,0.0004826960401280468,35483531200.0,8838683588.384756,197644.9818511797
31-9094.00,68.39,32.08,644.0,39210.0,37550.0,43070.0,Medical Transcriptionists,3.0,0.469074426085685,0.014952403064778267,1688774700.0,792161023.1905248,20203.035531510453
31-9095.00,58.08,8.83,48.0,40290.0,37000.0,41100.0,Pharmacy Aides,2.0,0.15203168044077137,0.0011678832116788322,1655919000.0,251752148.24380168,6248.502066115703
31-9096.00,117.75,8.31,158.0,38990.0,37320.0,114190.0,Veterinary Assistants and Laboratory Animal Caretakers,2.0,0.07057324840764331,0.0013836588142569402,4452268100.0,314211022.5987261,8058.75923566879
31-9097.00,102.34,4.44,26.0,44390.0,43660.0,138880.0,Phlebotomists,3.0,0.04338479577877663,0.0001872119815668203,6164883200.0,267462198.63201097,6025.280437756498
